GasPrice	ElePrice	VehPrice	mpg	mpg_unknown	mpg_known	range	size	curveh_model_year	curveh_age	curveh_price	curveh_mpg	curveh_mpg_known	curveh_mpg_unknown	curveh_range	curveh_size	Vehicles
3.25	4.5	0.4	0	0	0	0.7	2	2000	14	0.4	0	0	0	0	2	2
4.25	4	1.6	0	0	0	0.75	2	2011	3	1.6	0	0	0	0	2	2
3.75	4.5	2.2	0	0	0	1.1	2	2012	2	2.2	0	0	0	0	2	2
4	4	0.34	0.3	0	0.3	0.6	3	2000	14	0.34	0.3	0.3	0	0	3	2
3.75	5	1.6	0.25	0	0.25	0.85	1	2010	4	1.6	0.25	0.25	0	0	1	2
3.5	5	2.25	0.34	0	0.34	0.7	1	2014	0	2.25	0.34	0.34	0	0	1	3
3.75	4.5	2.2	0.31	0	0.31	0.6	2	2014	0	2.2	0.31	0.31	0	0	2	3
4	5.25	1.2	0.155	0	0.155	0.9	3	2005	9	1.2	0.155	0.155	0	0	3	3
4	5.25	1.2	0.25	0	0.25	0.9	2	2005	9	1.2	0.25	0.25	0	0	2	2
3.5	5.25	1.9	0	0	0	0.9	1	2006	8	1.9	0	0	0	0	1	2
4	5.25	2.7	0	0	0	1.1	3	2008	6	2.7	0	0	0	0	3	3
5.5	5.74	4.3	0.33	0.33	0	1.15	2	2017	3	4.3	0.33	0	0.33	0	2	3
3.75	5.25	2.7	0.2	0	0.2	0.85	2	2010	4	2.7	0.2	0.2	0	0	2	2
4	4	1.8899	0.23	0	0.23	0.85	2	2011	3	1.8899	0.23	0.23	0	0	2	4
3.75	5.25	1.6	0.33	0	0.33	0.7	1	2008	6	1.6	0.33	0.33	0	0	1	3
4.25	4.5	0.8	0	0	0	0.7	2	2008	6	0.8	0	0	0	0	2	2
3.75	4.75	8	0	0	0	0.7	2	2003	11	8	0	0	0	0	2	2
3	4.5	2.1	0	0	0	0.9	3	2003	11	2.1	0	0	0	0	3	2
3.25	4	1.5	0.28	0	0.28	0.75	1	2012	2	1.5	0.28	0.28	0	0	1	2
4.25	4	0.7	0.25	0	0.25	0.9	1	1999	15	0.7	0.25	0.25	0	0	1	3
3	5.25	2.3	0	0	0	0.6	2	2003	11	2.3	0	0	0	0	2	2
3	5	0	0	0	0	0.7	3	2012	2	0	0	0	0	0	3	2
3	4.75	1.3	0.3	0	0.3	0.85	1	2009	5	1.3	0.3	0.3	0	0	1	4
4	5	3.95	0.15	0	0.15	0.9	3	2004	10	3.95	0.15	0.15	0	0	3	3
4.9	5.38	1.8	0.26	0	0.26	1.4	1	2017	3	1.8	0.26	0.26	0	0	1	3
3.25	4.25	3.1	0.19	0	0.19	0.9	3	2010	4	3.1	0.19	0.19	0	0	3	4
3	4	1.2	0	0	0	0.6	1	2012	2	1.2	0	0	0	0	1	2
3.5	4	2.7	0.4	0	0.4	0.7	2	2013	1	2.7	0.4	0.4	0	0	2	5
3.75	4	2	0.32	0	0.32	1	2	2007	7	2	0.32	0.32	0	0	2	2
4	4	2.5	0.3	0	0.3	0.75	2	2013	1	2.5	0.3	0.3	0	0	2	2
4.25	4.75	2	0.28	0	0.28	0.6	1	2013	1	2	0.28	0.28	0	0	1	4
3	4.75	3.5	0	0	0	0.75	2	2012	2	3.5	0	0	0	0	2	5
4	5.25	2.25	0.28	0	0.28	0.6	2	2008	6	2.25	0.28	0.28	0	0	2	2
3	5.25	2.8	0.25	0	0.25	1	3	2010	4	2.8	0.25	0.25	0	0	3	2
3.75	4.75	1.7	0.28	0	0.28	0.6	2	2013	1	1.7	0.28	0.28	0	0	2	3
