GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
4.84	4.84	0	0	0	5.27	2	2	2.4	0.5	0.52	1.48	0	0	0	0.5	0.52	1.48	0	0	1.3	0	1	0
3.42	3.42	0	0	0	5.13	1.6	2.4	2.4	0.5	0.64	1.18	0	0	0	0.5	0.64	1.18	0	0	1	0	0	0
5.49	5.49	0	0	0	5.05	3.5	1.8	2.4	0.3	0.56	1.34	0.3	0.56	1.34	0	0	0	0	0	1.25	2	0	0
5.07	5.07	0	0	0	4.94	3	5	3.2	0.44	0.36	1.28	0	0	0	0.44	0.36	1.28	0	0	0.9	1	2	1
5.56	5.56	0	0	0	5.71	3	1.8	2.1	0.42	0.66	1.21	0	0	0	0.42	0.66	1.21	0	0	1.05	1	0	0
4.47	4.47	0	0	0	5.78	3	2.1	2.8	0.36	0.6	0.98	0	0	0	0.36	0.6	0.98	0	0	1.4	1	0	1
5.79	5.79	0	0	0	4.68	1.8	1.8	2.1	0.44	0.6	1.38	0	0	0	0.44	0.6	1.38	0	0	0.9	1	0	0
5.34	5.34	0	0	0	5.69	1.3	2	1.8	0.36	0.47	1.18	0.36	0.47	1.18	0	0	0	0	0	0.9	0	1	0
3.62	3.62	0	0	0	5.16	1.3	2.8	2.4	0.45	0.52	1.28	0	0	0	0.45	0.52	1.28	0	0	1.4	0	1	1
5.56	5.56	0	0	0	5.07	2.5	3.5	2.8	0.45	0.26	1.38	0.45	0.26	1.38	0	0	0	0	0	1.3	0	2	0
4	4	0	0	0	4.73	5	2.8	2.4	0.28	0.36	0.98	0	0	0	0.28	0.36	0.98	0	0	1.05	2	2	1
4.62	4.62	0	0	0	5.77	3.5	3.5	2	0.28	0.36	1.28	0	0	0	0.28	0.36	1.28	0	0	0.9	2	2	1
5.56	5.56	0	0	0	5.6	2.6	2.8	1.8	0.4	0.56	1.18	0.4	0.56	1.18	0	0	0	0	0	1.15	1	0	0
5.28	5.28	0	0	0	5.47	3	3.5	3.2	0.44	0.28	1.24	0.44	0.28	1.24	0	0	0	0	0	1.5	1	2	1
5.4	5.4	0	0	0	5.46	2.2	3.5	2	0.4	0.36	1.28	0	0	0	0.4	0.36	1.28	0	0	0.9	1	2	1
4.12	4.12	0	0	0	5.88	3	3.2	3.2	0.44	0.62	1.28	0.44	0.62	1.28	0	0	0	0	0	0.9	1	1	1
5.35	5.35	0	0	0	4.89	2.5	2	2	0.4	0.52	1.18	0	0	0	0.4	0.52	1.18	0	0	1.05	0	1	1
3.62	3.62	0	0	0	5.72	3	2	2.1	0.4	0.62	1.18	0	0	0	0.4	0.62	1.18	0	0	1	1	1	0
5.08	5.08	0	0	0	4.59	3.5	4.3	2.8	0.32	0.36	0.98	0	0	0	0.32	0.36	0.98	0	0	1.05	2	2	1
4.74	4.74	0	0	0	5.2	4.3	2.1	2.1	0.2	0.52	1.48	0.2	0.52	1.48	0	0	0	0	0	1	2	0	0
4.12	4.12	0	0	0	5.62	4.3	2	2.8	0.2	0.62	1.28	0.2	0.62	1.28	0	0	0	0	0	1.3	2	1	0
4.72	4.72	0	0	0	5.09	2.5	2.4	2.8	0.45	0.47	1.38	0.45	0.47	1.38	0	0	0	0	0	1.3	0	1	0
5.88	5.88	0	0	0	4.69	1.8	1.8	2.1	0.44	0.6	1.38	0.44	0.6	1.38	0	0	0	0	0	0.9	1	0	0
4.63	4.63	0	0	0	5.85	2.2	3.2	2.4	0.36	0.61	1.04	0	0	0	0.36	0.61	1.04	0	0	1.5	1	1	1
5.48	5.48	0	0	0	4.55	2.8	2.8	2	0.24	0.62	1.08	0.24	0.62	1.08	0	0	0	0	0	1.4	2	1	1
4.56	4.56	0	0	0	4.77	3	2.4	2.8	0.36	0.57	0.98	0	0	0	0.36	0.57	0.98	0	0	1.4	1	1	1
4.67	4.67	0	0	0	6.26	2.2	2.1	2.4	0.4	0.6	1.14	0	0	0	0.4	0.6	1.14	0	0	1	1	0	1
5.32	5.32	0	0	0	5.35	3.5	2.4	2.8	0.22	0.6	1.44	0	0	0	0.22	0.6	1.44	0	0	1.1	2	0	0
3.43	3.43	0	0	0	5.79	1.3	3.2	3.2	0.45	0.57	1.08	0.45	0.57	1.08	0	0	0	0	0	1.05	0	1	1
4.27	4.27	0	0	0	5.19	2	2.8	2.4	0.54	0.31	1.54	0	0	0	0.54	0.31	1.54	0	0	1.4	0	2	0
