GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
4.62	4.62	0	0	0	4.97	1.3	2.4	2.4	0.32	0.58	1.32	0	0	0	0.32	0.58	1.32	0	0	1.05	0	1	0
3.25	3.25	0	0	0	5	1.3	2.4	2.1	0.39	0.5	1.39	0	0	0	0.39	0.5	1.39	0	0	1.15	0	0	0
4.7	4.7	0	0	0	4.51	1.8	3.2	3.2	0.36	0.53	1.02	0.36	0.53	1.02	0	0	0	0	0	0.95	1	1	1
4.91	4.91	0	0	0	4.68	3	2.4	3.2	0.34	0.41	1.09	0	0	0	0.34	0.41	1.09	0	0	1.25	1	1	1
5.2	5.2	0	0	0	5.27	3	2.8	2.1	0.4	0.43	1.22	0	0	0	0.4	0.43	1.22	0	0	1.05	1	1	0
3.89	3.89	0	0	0	5.46	2.8	2.1	2.8	0.29	0.5	1.09	0	0	0	0.29	0.5	1.09	0	0	1	2	0	0
4.88	4.88	0	0	0	4.41	1.3	2.1	3.2	0.44	0.5	0.89	0	0	0	0.44	0.5	0.89	0	0	1.05	0	0	1
4.76	4.76	0	0	0	5.37	1.3	2.4	2	0.34	0.58	0.99	0.34	0.58	0.99	0	0	0	0	0	1.25	0	0	1
2.98	2.98	0	0	0	4.94	1.6	2.4	2.4	0.44	0.58	1.09	0	0	0	0.44	0.58	1.09	0	0	0.85	0	0	0
4.92	4.92	0	0	0	4.84	2.5	2.8	2.4	0.39	0.33	0.89	0.39	0.33	0.89	0	0	0	0	0	0.9	0	2	1
3.7	3.7	0	0	0	4.55	4.3	5	1.8	0.25	0.26	1.09	0	0	0	0.25	0.26	1.09	0	0	1	2	2	0
4.36	4.36	0	0	0	5.39	3	5	2.4	0.26	0.26	1.19	0	0	0	0.26	0.26	1.19	0	0	0.75	1	2	0
5.05	5.05	0	0	0	5.35	3	2.4	2.8	0.34	0.41	1.29	0.34	0.41	1.29	0	0	0	0	0	1.15	1	1	0
4.92	4.92	0	0	0	5.13	4.3	3.5	1.8	0.3	0.31	1.22	0.3	0.31	1.22	0	0	0	0	0	0.9	2	2	0
4.62	4.62	0	0	0	5.11	2.8	2.8	2.1	0.29	0.3	1.29	0	0	0	0.29	0.3	1.29	0	0	0.75	2	2	0
3.27	3.27	0	0	0	5.6	2.2	2	2.8	0.3	0.51	1.39	0.3	0.51	1.39	0	0	0	0	0	1	1	1	0
4.85	4.85	0	0	0	4.72	3	3.5	2.4	0.3	0.3	1.09	0	0	0	0.3	0.3	1.09	0	0	1.15	1	2	0
3.49	3.49	0	0	0	5.29	5	2.4	2.1	0.29	0.46	1.19	0	0	0	0.29	0.46	1.19	0	0	1	2	0	0
4.03	4.03	0	0	0	4.31	1.8	3.5	3.2	0.38	0.26	0.89	0	0	0	0.38	0.26	0.89	0	0	1.05	1	2	1
3.9	3.9	0	0	0	5	1.3	2.8	2.1	0.39	0.46	1.39	0.39	0.46	1.39	0	0	0	0	0	1.15	0	1	0
3.52	3.52	0	0	0	5.4	1.8	4.3	2.4	0.34	0.26	1.19	0.34	0.26	1.19	0	0	0	0	0	1.25	1	2	1
4.49	4.49	0	0	0	4.74	1.3	1.8	1.8	0.3	0.46	1.09	0.3	0.46	1.09	0	0	0	0	0	0.75	0	0	0
4.76	4.76	0	0	0	4.44	1.8	2.4	2.8	0.38	0.46	1.09	0.38	0.46	1.09	0	0	0	0	0	1	1	1	0
3.51	3.51	0	0	0	5.43	1.8	2	2	0.28	0.43	0.92	0	0	0	0.28	0.43	0.92	0	0	0.8	1	1	1
4.94	4.94	0	0	0	4.46	1.6	2.4	2.1	0.36	0.48	1.22	0.36	0.48	1.22	0	0	0	0	0	0.8	0	1	0
