GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
4.5	4.5	0	0	0	4.86	3	1.8	2.4	0.34	0.58	0.89	0	0	0	0.34	0.58	0.89	0	0	0.9	1	0	1
3.25	3.25	0	0	0	5	1.3	2.4	2.1	0.39	0.5	1.39	0	0	0	0.39	0.5	1.39	0	0	1.15	0	0	0
4.43	4.43	0	0	0	4.5	2.2	3.2	2	0.38	0.41	1.09	0.38	0.41	1.09	0	0	0	0	0	1.25	1	1	1
4.91	4.91	0	0	0	4.68	3	2.4	3.2	0.34	0.41	1.09	0	0	0	0.34	0.41	1.09	0	0	1.25	1	1	1
5.02	5.02	0	0	0	5.23	1.8	1.8	1.8	0.26	0.46	1.09	0	0	0	0.26	0.46	1.09	0	0	0.75	1	0	0
3.89	3.89	0	0	0	5.46	2.8	2.1	2.8	0.29	0.5	1.09	0	0	0	0.29	0.5	1.09	0	0	1	2	0	0
4.88	4.88	0	0	0	4.41	1.3	2.1	3.2	0.44	0.5	0.89	0	0	0	0.44	0.5	0.89	0	0	1.05	0	0	1
4.76	4.76	0	0	0	5.37	1.3	2.4	2	0.34	0.58	0.99	0.34	0.58	0.99	0	0	0	0	0	1.25	0	0	1
2.98	2.98	0	0	0	4.94	1.6	2.4	2.4	0.44	0.58	1.09	0	0	0	0.44	0.58	1.09	0	0	0.85	0	0	0
4.92	4.92	0	0	0	4.84	2.5	2.8	2.4	0.39	0.33	0.89	0.39	0.33	0.89	0	0	0	0	0	0.9	0	2	1
3.7	3.7	0	0	0	4.55	4.3	5	1.8	0.25	0.26	1.09	0	0	0	0.25	0.26	1.09	0	0	1	2	2	0
4.36	4.36	0	0	0	5.39	3	5	2.4	0.26	0.26	1.19	0	0	0	0.26	0.26	1.19	0	0	0.75	1	2	0
5.05	5.05	0	0	0	5.35	3	2.4	2.8	0.34	0.41	1.29	0.34	0.41	1.29	0	0	0	0	0	1.15	1	1	0
4.71	4.71	0	0	0	4.97	2.5	5	3.2	0.44	0.33	1.19	0.44	0.33	1.19	0	0	0	0	0	0.75	0	2	1
4.62	4.62	0	0	0	5.11	2.8	2.8	2.1	0.29	0.3	1.29	0	0	0	0.29	0.3	1.29	0	0	0.75	2	2	0
3.27	3.27	0	0	0	5.6	2.2	2	2.8	0.3	0.51	1.39	0.3	0.51	1.39	0	0	0	0	0	1	1	1	0
4.85	4.85	0	0	0	4.72	3	3.5	2.4	0.3	0.3	1.09	0	0	0	0.3	0.3	1.09	0	0	1.15	1	2	0
3.49	3.49	0	0	0	5.29	5	2.4	2.1	0.29	0.46	1.19	0	0	0	0.29	0.46	1.19	0	0	1	2	0	0
4.03	4.03	0	0	0	4.31	1.8	3.5	3.2	0.38	0.26	0.89	0	0	0	0.38	0.26	0.89	0	0	1.05	1	2	1
3.9	3.9	0	0	0	5	1.3	2.8	2.1	0.39	0.46	1.39	0.39	0.46	1.39	0	0	0	0	0	1.15	0	1	0
3.52	3.52	0	0	0	5.4	1.8	4.3	2.4	0.34	0.26	1.19	0.34	0.26	1.19	0	0	0	0	0	1.25	1	2	1
4.49	4.49	0	0	0	4.74	1.3	1.8	1.8	0.3	0.46	1.09	0.3	0.46	1.09	0	0	0	0	0	0.75	0	0	0
4.76	4.76	0	0	0	4.44	1.8	2.4	2.8	0.38	0.46	1.09	0.38	0.46	1.09	0	0	0	0	0	1	1	1	0
3.42	3.42	0	0	0	5.42	1.3	2.8	2	0.34	0.56	0.99	0	0	0	0.34	0.56	0.99	0	0	1.25	0	1	1
4.73	4.73	0	0	0	4.41	1.8	3.5	2.8	0.26	0.33	1.09	0.26	0.33	1.09	0	0	0	0	0	1.05	1	2	1
3.75	3.75	0	0	0	4.26	1.8	2.4	2.4	0.34	0.5	1.19	0	0	0	0.34	0.5	1.19	0	0	1.25	1	0	1
3.26	3.26	0	0	0	5.43	1.8	2.4	2.4	0.22	0.52	1.23	0	0	0	0.22	0.52	1.23	0	0	0.9	1	1	0
4.26	4.26	0	0	0	4.78	2	2.1	2	0.4	0.5	0.93	0	0	0	0.4	0.5	0.93	0	0	0.8	0	0	1
3.25	3.25	0	0	0	5.52	2.6	1.8	2.8	0.26	0.58	1.19	0.26	0.58	1.19	0	0	0	0	0	1.15	1	0	0
3.33	3.33	0	0	0	4.82	2.5	2	2.1	0.37	0.54	1.06	0	0	0	0.37	0.54	1.06	0	0	0.8	0	1	0
3.64	3.64	0	0	0	5.56	2	3.2	2.1	0.34	0.56	1.29	0.34	0.56	1.29	0	0	0	0	0	1	0	1	0
4.22	4.22	0	0	0	5.26	1.6	2.1	1.8	0.39	0.58	1.39	0.39	0.58	1.39	0	0	0	0	0	0.75	0	0	0
3.78	3.78	0	0	0	4.25	3	2.8	2	0.26	0.51	1.19	0.26	0.51	1.19	0	0	0	0	0	1.05	1	1	1
4.37	4.37	0	0	0	4.83	3.5	3.2	2.1	0.15	0.47	1.03	0.15	0.47	1.03	0	0	0	0	0	1.05	2	1	0
3.76	3.76	0	0	0	4.72	1.8	2.4	2.4	0.34	0.5	1.19	0	0	0	0.34	0.5	1.19	0	0	1.25	1	0	1
4.43	4.43	0	0	0	5.14	2.2	2	2.4	0.34	0.41	1.19	0	0	0	0.34	0.41	1.19	0	0	1	1	1	0
3.49	3.49	0	0	0	5.73	1.6	2.8	3.2	0.3	0.46	1.09	0	0	0	0.3	0.46	1.09	0	0	0.9	0	1	1
5.06	5.06	0	0	0	5.25	4.3	3.5	2	0.29	0.3	0.99	0.29	0.3	0.99	0	0	0	0	0	0.9	2	2	1
4.12	4.12	0	0	0	4.79	1.8	2.8	2.1	0.38	0.3	1.29	0	0	0	0.38	0.3	1.29	0	0	0.75	1	2	0
4	4	0	0	0	4.78	3	2.8	2	0.26	0.51	1.19	0.26	0.51	1.19	0	0	0	0	0	1.05	1	1	1
4.25	4.25	0	0	0	4.95	2.6	2	3.2	0.26	0.56	0.99	0.26	0.56	0.99	0	0	0	0	0	1.25	1	1	1
4.01	4.01	0	0	0	5.44	2.8	2.8	1.8	0.17	0.23	1.09	0	0	0	0.17	0.23	1.09	0	0	0.75	2	2	0
4.2	4.2	0	0	0	5.28	2.6	2.4	2	0.34	0.47	0.93	0	0	0	0.34	0.47	0.93	0	0	0.8	1	1	1
3.93	3.93	0	0	0	5.49	1.6	3.5	2.1	0.32	0.25	1.16	0	0	0	0.32	0.25	1.16	0	0	0.7	0	2	0
4.33	4.33	0	0	0	5.37	1.8	2.1	3.2	0.38	0.5	0.89	0.38	0.5	0.89	0	0	0	0	0	1.05	1	0	1
4.03	4.03	0	0	0	4.54	1.8	2	2	0.26	0.41	0.89	0.26	0.41	0.89	0	0	0	0	0	0.75	1	1	1
4.65	4.65	0	0	0	5.13	2.6	2.8	2.4	0.34	0.51	1.29	0	0	0	0.34	0.51	1.29	0	0	0.75	1	1	0
4.86	4.86	0	0	0	4.16	1.8	3.5	2.8	0.38	0.26	1.09	0	0	0	0.38	0.26	1.09	0	0	1	1	2	0
4.43	4.43	0	0	0	5	1.6	3.5	1.8	0.39	0.33	1.39	0	0	0	0.39	0.33	1.39	0	0	0.75	0	2	0
4.22	4.22	0	0	0	4.36	1.8	3.5	2.8	0.26	0.33	1.09	0	0	0	0.26	0.33	1.09	0	0	1.05	1	2	1
4.55	4.55	0	0	0	4.97	2.6	2.8	2.4	0.34	0.51	1.29	0.34	0.51	1.29	0	0	0	0	0	0.75	1	1	0
